3G LV-SWP 320-850,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Series name: ,Filter @ 5 mm,,Filter @ 6.76 mm,,Filter @ 9.66 mm,,Filter @ 12.57 mm,,Filter @ 18.38 mm,,Filter @ 24.19 mm,,Filter @ 30 mm,,Filter @ 35.81 mm,,Filter @ 41.62 mm,,Filter @ 47.43 mm,,Filter @ 53.24 mm,,Filter @ 58 mm,
Quantity (unit): ,Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%)
,376,0.010906,376,0.013954,376,5.199481,416,0.000856,446,76.939218,476,94.185323,506,95.247554,536,93.3962,566,96.002254,596,95.727282,616,94.154796,630,95.711893
,377,0.004337,377,0.012672,377,2.256007,417,0.000527,447,64.747175,477,94.087847,507,95.468335,537,93.172654,567,95.966952,597,95.46486,617,94.183372,631,95.537269
,378,-0.014236,378,-0.013966,378,0.799189,418,-0.002636,448,49.965614,478,92.745638,508,95.784683,538,93.067068,568,96.130589,598,94.953973,618,94.170462,632,94.635976
,379,0.006151,379,0.00582,379,0.235325,419,0.005402,449,35.303032,479,90.534274,509,96.057072,539,93.190111,569,96.397495,599,94.294044,619,94.313407,633,93.580852
,380,-0.005674,380,-0.004157,380,0.060378,420,0.002701,450,22.241669,480,88.397025,510,96.043431,540,93.166746,570,96.381937,600,93.875923,620,94.619855,634,92.663339
,381,0.002977,381,0.006352,381,0.026667,421,-0.000791,451,11.802686,481,87.261789,511,95.471817,541,93.394118,571,96.364418,601,93.819115,621,94.819446,635,92.440658
,382,-0.003105,382,0.000132,382,0.006211,422,0.003422,452,4.960346,482,87.896178,512,94.333126,542,93.626941,572,95.972561,602,93.99097,622,94.889955,636,92.877603
,383,-0.010317,383,-0.004365,383,0.001521,423,0.000988,453,1.696121,483,90.056422,513,93.148304,543,93.671599,573,95.51966,603,94.279497,623,94.774143,637,93.893329
,384,0.005295,384,0.006287,384,0.007346,424,0.001449,454,0.559532,484,92.245245,514,92.362553,544,93.680192,574,94.784661,604,94.818594,624,94.662414,638,94.791697
,385,0.004037,385,0.002316,385,0.004169,425,-0.003752,455,0.207721,485,92.675499,515,92.210385,545,93.544768,575,94.145881,605,94.840385,625,94.766363,639,95.626644
,386,-0.008065,386,-0.007668,386,-0.003702,426,0.002698,456,0.087554,486,90.351666,516,92.667075,546,93.466598,576,93.916176,606,94.13015,626,94.97873,640,96.179861
,387,0.005292,387,0.005888,387,0.003903,427,0.005661,457,0.042368,487,85.987409,517,93.59906,547,93.721896,577,93.54734,607,93.185369,627,95.462795,641,96.118149
,388,0.000926,388,0.002183,388,0.007079,428,-0.005334,458,0.023249,488,81.715764,518,94.685834,548,94.137119,578,93.485245,608,92.370896,628,95.887352,642,95.601665
,389,-0.006422,389,-0.004966,389,-0.002251,429,0.001974,459,0.014609,489,79.535579,519,95.215273,549,94.542229,579,93.580419,609,91.517338,629,96.596567,643,95.009609
,390,0.005093,390,0.004564,390,0.00549,430,0.002963,460,0.005997,490,80.016574,520,94.901023,550,94.958398,580,93.50418,610,91.40093,630,96.901029,644,94.979033
,391,0.002181,391,0.002247,391,0.001057,431,-0.000526,461,0.010289,491,82.923087,521,94.175936,551,95.331945,581,93.106121,611,91.757563,631,97.109188,645,95.068487
,392,-0.008015,392,-0.010333,392,-0.006226,432,0.002762,462,0.007093,492,86.830086,522,93.466292,552,95.477937,582,92.949043,612,92.471225,632,96.73311,646,95.539644
,393,0.003305,393,0.003702,393,0.006149,433,0.000197,463,-0.001005,493,90.211476,523,93.078432,553,95.592663,583,92.904597,613,93.313749,633,96.247187,647,96.384344
,394,0.003236,394,0.008851,394,0.004359,434,-0.000788,464,0.003022,494,92.12058,524,93.298735,554,95.405253,584,93.234196,614,94.249366,634,95.849736,648,96.783961
,395,-0.002575,395,-0.001981,395,0.002179,435,0.003876,465,0.003024,495,91.513557,525,93.995761,555,95.468384,585,93.515661,615,94.608743,635,95.637119,649,97.003101
,396,-0.005019,396,-0.007264,396,-0.002641,436,0.002563,466,0.002487,496,87.634394,526,94.844984,556,95.569661,586,94.104262,616,94.695679,636,95.591923,650,96.405764
,397,0.002315,397,0.003903,397,0.001786,437,6.50E-05,467,0.000807,497,80.441719,527,95.58129,557,95.814038,587,95.056521,617,94.581801,637,95.665766,651,95.66299
,398,0.001255,398,0.000462,398,0.005882,438,-0.000525,468,0.003092,498,70.833404,528,95.585204,558,95.905919,588,95.831391,618,94.72698,638,95.645034,652,94.817635
,399,0.000396,399,-0.003036,399,-0.002442,439,0.002956,469,0.004162,499,59.981608,529,95.091781,559,95.679023,589,96.307771,619,94.849379,639,95.099279,653,94.418138
,400,0.003435,400,0.003303,400,0.001189,440,0.003018,470,-6.70E-05,500,47.537458,530,94.694877,560,95.61739,590,96.561483,620,95.355425,640,94.643506,654,94.230656
,401,0.00185,401,-0.003106,401,0.000594,441,-0.000721,471,0.006378,501,33.069018,531,94.737871,561,94.945202,591,96.643898,621,96.064276,641,94.121767,655,94.46514
,402,0.000131,402,0.002837,402,-0.001385,442,0.005902,472,0.002749,502,18.80535,532,95.139838,562,94.391547,592,96.682215,622,96.704131,642,93.583305,656,95.084598
,403,0.000726,403,0.004818,403,0.004422,443,0.003211,473,-0.002749,503,8.401588,533,95.968276,563,93.828401,593,96.358247,623,97.16455,643,93.232894,657,95.591747
,404,0.001715,404,-0.004617,404,-0.000659,444,0.000654,474,0.007438,504,3.09476,534,96.441485,564,93.432737,594,96.478933,624,97.001043,644,93.322954,658,95.649298
,405,-0.002112,405,0.00033,405,-0.002046,445,0.004118,475,0.002877,505,1.102042,535,95.856934,565,93.281246,595,96.272916,625,96.366244,645,93.569436,659,95.531366
