Wavelength,Intensity
709.56012,3.60E+01
709.59922,3.50E+01
709.63832,3.40E+01
709.67742,2.90E+01
709.71652,2.60E+01
709.75562,3.00E+01
709.79472,2.90E+01
709.83382,3.00E+01
709.87292,3.10E+01
709.91202,2.50E+01
709.95112,2.10E+01
709.99022,2.10E+01
710.02933,2.60E+01
710.06843,2.30E+01
710.10753,2.10E+01
710.14663,2.30E+01
710.18573,2.30E+01
710.22483,1.90E+01
710.26393,1.80E+01
710.30303,1.80E+01
710.34213,2.10E+01
710.38123,2.30E+01
710.42033,1.90E+01
710.45943,2.20E+01
710.49853,1.90E+01
710.53763,1.70E+01
710.57674,1.60E+01
710.61584,1.90E+01
710.65494,2.00E+01
710.69404,2.10E+01
710.73314,1.90E+01
710.77224,1.70E+01
710.81134,1.50E+01
710.85044,1.40E+01
710.88954,1.20E+01
710.92864,1.90E+01
710.96774,1.90E+01
711.00684,1.90E+01
711.04594,1.60E+01
711.08504,1.70E+01
711.12414,1.40E+01
711.16325,1.10E+01
711.20235,9.00E+00
711.24145,1.40E+01
711.28055,9.00E+00
711.31965,9.00E+00
711.35875,9.00E+00
711.39785,1.10E+01
711.43695,1.30E+01
711.47605,1.20E+01
711.51515,1.50E+01
711.55425,1.10E+01
711.59335,7.00E+00
711.63245,1.00E+01
711.67155,1.40E+01
711.71065,1.30E+01
711.74976,1.50E+01
711.78886,1.60E+01
711.82796,1.00E+01
711.86706,8.00E+00
711.90616,6.00E+00
711.94526,1.30E+01
711.98436,9.00E+00
712.02346,1.10E+01
712.06256,1.00E+01
712.10166,9.00E+00
712.14076,1.30E+01
712.17986,1.00E+01
712.21896,1.10E+01
712.25806,9.00E+00
712.29717,9.00E+00
712.33627,1.00E+01
712.37537,1.00E+01
712.41447,1.30E+01
712.45357,8.00E+00
712.49267,1.10E+01
712.53177,1.10E+01
712.57087,1.10E+01
712.60997,9.00E+00
712.64907,4.00E+00
712.68817,1.20E+01
712.72727,1.20E+01
712.76637,1.10E+01
712.80547,1.00E+01
712.84457,7.00E+00
712.88368,1.10E+01
712.92278,7.00E+00
712.96188,9.00E+00
713.00098,1.10E+01
713.04008,7.00E+00
713.07918,5.00E+00
713.11828,1.00E+01
713.15738,6.00E+00
713.19648,8.00E+00
713.23558,1.00E+01
713.27468,8.00E+00
713.31378,9.00E+00
713.35288,9.00E+00
713.39198,1.00E+01
713.43109,1.00E+01
713.47019,1.00E+01
713.50929,9.00E+00
713.54839,1.10E+01
713.58749,7.00E+00
713.62659,6.00E+00
713.66569,7.00E+00
713.70479,9.00E+00
713.74389,7.00E+00
713.78299,5.00E+00
713.82209,1.00E+01
713.86119,8.00E+00
713.90029,7.00E+00
713.93939,6.00E+00
713.97849,7.00E+00
714.01760,5.00E+00
714.05670,8.00E+00
714.09580,6.00E+00
714.13490,5.00E+00
714.17400,1.10E+01
714.21310,1.00E+00
714.25220,5.00E+00
714.29130,6.00E+00
714.33040,8.00E+00
714.36950,1.00E+01
714.40860,5.00E+00
714.44770,3.00E+00
714.48680,0.00E+00
714.52590,6.00E+00
714.56500,5.00E+00
714.60411,5.00E+00
714.64321,2.00E+00
714.68231,1.00E+00
714.72141,9.00E+00
714.76051,5.00E+00
714.79961,4.00E+00
714.83871,3.00E+00
714.87781,8.00E+00
714.91691,1.00E+01
714.95601,2.00E+00
714.99511,4.00E+00
715.03421,7.00E+00
715.07331,1.00E+00
715.11241,4.00E+00
715.15152,2.00E+00
715.19062,1.00E+00
715.22972,2.00E+00
715.26882,4.00E+00
715.30792,4.00E+00
715.34702,4.00E+00
715.38612,2.00E+00
715.42522,1.00E+00
715.46432,4.00E+00
715.50342,7.00E+00
715.54252,1.00E+00
715.58162,3.00E+00
715.62072,4.00E+00
715.65982,2.00E+00
715.69892,3.00E+00
715.73803,4.00E+00
715.77713,0.00E+00
715.81623,1.00E+00
715.85533,5.00E+00
715.89443,4.00E+00
715.93353,2.00E+00
715.97263,0.00E+00
716.01173,4.00E+00
716.05083,7.00E+00
716.08993,3.00E+00
716.12903,3.00E+00
716.16813,4.00E+00
716.20723,3.00E+00
716.24633,1.00E+01
716.28543,2.00E+00
716.32454,2.00E+00
716.36364,3.00E+00
716.40274,5.00E+00
716.44184,5.00E+00
716.48094,1.00E+00
716.52004,9.00E+00
716.55914,5.00E+00
716.59824,3.00E+00
716.63734,1.00E+00
716.67644,6.00E+00
716.71554,6.00E+00
716.75464,4.00E+00
716.79374,5.00E+00
716.83284,5.00E+00
716.87195,5.00E+00
716.91105,4.00E+00
716.95015,1.00E+00
716.98925,1.00E+00
717.02835,4.00E+00
717.06745,5.00E+00
717.10655,6.00E+00
717.14565,1.00E+00
717.18475,1.00E+00
717.22385,1.00E+00
717.26295,1.00E+00
717.30205,2.00E+00
717.34115,7.00E+00
717.38025,3.00E+00
717.41935,5.00E+00
717.45846,9.00E+00
717.49756,7.00E+00
717.53666,5.00E+00
717.57576,7.00E+00
717.61486,9.00E+00
717.65396,5.00E+00
717.69306,3.00E+00
717.73216,5.00E+00
717.77126,7.00E+00
717.81036,2.00E+00
717.84946,1.00E+00
717.88856,1.00E+00
717.92766,4.00E+00
717.96676,3.00E+00
718.00587,2.00E+00
718.04497,6.00E+00
718.08407,7.00E+00
718.12317,4.00E+00
718.16227,7.00E+00
718.20137,3.00E+00
718.24047,0.00E+00
718.27957,6.00E+00
718.31867,0.00E+00
718.35777,1.00E+00
718.39687,0.00E+00
718.43597,0.00E+00
718.47507,6.00E+00
718.51417,1.00E+00
718.55327,1.00E+00
718.59238,2.00E+00
718.63148,2.00E+00
718.67058,2.00E+00
718.70968,3.00E+00
718.74878,0.00E+00
718.78788,1.00E+00
718.82698,9.00E+00
718.86608,7.00E+00
718.90518,5.00E+00
718.94428,4.00E+00
718.98338,5.00E+00
719.02248,0.00E+00
719.06158,8.00E+00
719.10068,5.00E+00
719.13978,3.00E+00
719.17889,3.00E+00
719.21799,4.00E+00
719.25709,1.00E+00
719.29619,1.00E+00
719.33529,3.00E+00
719.37439,5.00E+00
719.41349,3.00E+00
719.45259,1.00E+00
719.49169,4.00E+00
719.53079,4.00E+00
719.56989,4.00E+00
719.60899,2.00E+00
719.64809,2.00E+00
719.68719,4.00E+00
719.72630,0.00E+00
719.76540,0.00E+00
719.80450,0.00E+00
719.84360,0.00E+00
719.88270,0.00E+00
719.92180,3.00E+00
719.96090,3.00E+00
720.00000,1.00E+00
