Wavelength,Intensity
656.86217,1.66E+04
656.90127,1.65E+04
656.94037,1.65E+04
656.97947,1.64E+04
657.01857,1.63E+04
657.05767,1.61E+04
657.09677,1.60E+04
657.13587,1.59E+04
657.17498,1.58E+04
657.21408,1.57E+04
657.25318,1.56E+04
657.29228,1.54E+04
657.33138,1.52E+04
657.37048,1.52E+04
657.40958,1.51E+04
657.44868,1.49E+04
657.48778,1.47E+04
657.52688,1.45E+04
657.56598,1.45E+04
657.60508,1.44E+04
657.64418,1.42E+04
657.68328,1.40E+04
657.72239,1.38E+04
657.76149,1.37E+04
657.80059,1.36E+04
657.83969,1.34E+04
657.87879,1.33E+04
657.91789,1.31E+04
657.95699,1.29E+04
657.99609,1.28E+04
658.03519,1.27E+04
658.07429,1.24E+04
658.11339,1.22E+04
658.15249,1.20E+04
658.19159,1.19E+04
658.23069,1.18E+04
658.26979,1.16E+04
658.30890,1.14E+04
658.34800,1.12E+04
658.38710,1.09E+04
658.42620,1.08E+04
658.46530,1.07E+04
658.50440,1.05E+04
658.54350,1.03E+04
658.58260,1.01E+04
658.62170,9.98E+03
658.66080,9.87E+03
658.69990,9.65E+03
658.73900,9.41E+03
658.77810,9.20E+03
658.81720,9.10E+03
658.85630,9.00E+03
658.89541,8.80E+03
658.93451,8.56E+03
658.97361,8.34E+03
659.01271,8.13E+03
659.05181,8.03E+03
659.09091,7.92E+03
659.13001,7.70E+03
659.16911,7.50E+03
659.20821,7.31E+03
659.24731,7.20E+03
659.28641,7.10E+03
659.32551,6.87E+03
659.36461,6.67E+03
659.40371,6.49E+03
659.44282,6.39E+03
659.48192,6.30E+03
659.52102,6.10E+03
659.56012,5.93E+03
659.59922,5.74E+03
659.63832,5.52E+03
659.67742,5.43E+03
659.71652,5.34E+03
659.75562,5.18E+03
659.79472,5.01E+03
659.83382,4.82E+03
659.87292,4.74E+03
659.91202,4.66E+03
659.95112,4.49E+03
659.99022,4.33E+03
660.02933,4.16E+03
660.06843,4.09E+03
660.10753,4.02E+03
660.14663,3.88E+03
660.18573,3.73E+03
660.22483,3.59E+03
660.26393,3.45E+03
660.30303,3.38E+03
660.34213,3.31E+03
660.38123,3.18E+03
660.42033,3.05E+03
660.45943,2.94E+03
660.49853,2.88E+03
660.53763,2.82E+03
660.57674,2.70E+03
660.61584,2.58E+03
660.65494,2.47E+03
660.69404,2.37E+03
660.73314,2.32E+03
660.77224,2.27E+03
660.81134,2.18E+03
660.85044,2.09E+03
660.88954,1.99E+03
660.92864,1.94E+03
660.96774,1.90E+03
661.00684,1.81E+03
661.04594,1.74E+03
661.08504,1.68E+03
661.12414,1.63E+03
661.16325,1.59E+03
661.20235,1.52E+03
661.24145,1.46E+03
661.28055,1.39E+03
661.31965,1.33E+03
661.35875,1.30E+03
661.39785,1.28E+03
661.43695,1.22E+03
661.47605,1.16E+03
661.51515,1.11E+03
661.55425,1.09E+03
661.59335,1.06E+03
661.63245,1.02E+03
661.67155,9.68E+02
661.71065,9.27E+02
661.74976,9.11E+02
661.78886,8.95E+02
661.82796,8.56E+02
661.86706,8.17E+02
661.90616,7.85E+02
661.94526,7.55E+02
661.98436,7.39E+02
662.02346,7.24E+02
662.06256,6.94E+02
662.10166,6.69E+02
662.14076,6.44E+02
662.17986,6.31E+02
662.21896,6.18E+02
662.25806,5.93E+02
662.29717,5.72E+02
662.33627,5.50E+02
662.37537,5.28E+02
662.41447,5.19E+02
662.45357,5.11E+02
662.49267,4.92E+02
662.53177,4.78E+02
662.57087,4.61E+02
662.60997,4.55E+02
662.64907,4.50E+02
662.68817,4.37E+02
662.72727,4.23E+02
662.76637,4.05E+02
662.80547,4.02E+02
662.84457,3.99E+02
662.88368,3.86E+02
662.92278,3.77E+02
662.96188,3.67E+02
663.00098,3.53E+02
663.04008,3.50E+02
663.07918,3.48E+02
